user,sexo,uf,idade,dias,pviews,visitas,tempo_total,device,blog_cartola,cartola_status,horas_engajamento_futebol,horas_engajamento_outros_esportes,horas_engajamento_home
57267207,NA,Bahia,,12,48,19,1.2885288888878292,pc_e_m,0.5896925001674228,cartola_free,0.5342191665040121,0.0,0.13961722221639422
57268035,NA,Sao Paulo,,21,119,31,6.11880694422457,pc_only,0.0,cartola_free,0.9523441667026943,2.2978102778063882,1.1941697220669854
57270227,M,Sao Paulo,31.0,1,1,1,0.0125,m_only,0.0,cartola_free,0.0,0.0125,0.0
57272798,NA,NA,,8,30,13,0.37800722234778933,pc_only,0.11839277784029645,cartola_free,0.2153333334128062,0.0125,0.0125
57273642,M,Rio de Janeiro,16.0,2,2,2,0.025,m_only,0.0125,cartola_free,0.0125,0.0,0.0
57274891,NA,Santa Catarina,,6,17,9,0.5760569443967607,m_only,0.47583666662375135,cartola_free,0.0848605555958218,0.0,0.015359722177187602
57275796,M,NA,35.0,19,43,23,0.9100863887866338,pc_only,0.9100863887866338,cartola_free,0.0,0.0,0.0
57276207,NA,NA,,5,7,6,0.22401027778784435,m_only,0.19901027778784433,cartola_free,0.0125,0.0,0.0
57277533,NA,NA,,3,3,3,0.0375,m_only,0.0125,cartola_free,0.0,0.0125,0.0
57278242,NA,Rio Grande do Sul,,10,40,14,2.950974166591962,pc_only,0.0,cartola_free,2.5541524999009235,0.06979555553860134,0.017443611092037625
57278725,M,Minas Gerais,18.0,15,42,27,0.4320677777131399,pc_only,0.0,cartola_free,0.36602361102898917,0.055817222264077926,0.010226944420072768
57280004,M,Parana,16.0,4,8,6,0.09792861110634274,m_only,0.0,cartola_free,0.09792861110634274,0.0,0.0
57280172,M,Sao Paulo,25.0,2,4,2,0.05364583333333333,m_only,0.0125,cartola_free,0.04114583333333333,0.0,0.0
57281523,M,Sao Paulo,16.0,13,22,17,0.2797836110989253,m_only,0.25077361106872553,cartola_free,0.02901000003019969,0.0,0.0
57281923,NA,Para,28.0,3,4,3,0.050679166648123,m_only,0.0,cartola_free,0.025679166648123,0.0,0.025
57282264,NA,Sao Paulo,,12,34,15,2.377161388794581,pc_only,0.5160594444142447,cartola_free,1.1440705555677415,0.704531388812595,0.0
57282484,M,Sao Paulo,21.0,2,2,2,0.025,pc_e_m,0.0,cartola_free,0.0125,0.0,0.0
57283656,M,Minas Gerais,14.0,1,3,1,0.022448888884650336,m_only,0.0,cartola_free,0.0,0.0,0.0
57283721,NA,Sao Paulo,,6,18,10,0.20897611121336618,m_only,0.10457500007417467,cartola_free,0.0,0.0125,0.06690111113919152
57284597,NA,Sao Paulo,,3,4,3,0.05068749997350905,m_only,0.0,cartola_free,0.03818749997350905,0.0,0.0
57284760,M,Goias,27.0,1,1,1,0.0125,pc_only,0.0,cartola_free,0.0125,0.0,0.0
57285832,M,Sao Paulo,26.0,6,9,7,0.10721333331531949,pc_e_m,0.10721333331531949,cartola_free,0.0,0.0,0.0
57285964,NA,Sao Paulo,,6,21,7,0.6090311110019684,pc_only,0.0,cartola_free,0.24005916661686366,0.1540380555391312,0.20243388884597355
57286113,NA,Rio de Janeiro,,3,8,3,0.0612800000111262,pc_e_m,0.038036944402588736,cartola_free,0.017734166714880203,0.0,0.00550888889365726
57287585,M,Pernambuco,26.0,3,5,4,0.05104638887776269,m_only,0.03854638887776269,cartola_free,0.0,0.0,0.0125
57287997,NA,Rio de Janeiro,,4,5,4,0.05866166671117147,m_only,0.0125,cartola_free,0.025,0.0,0.021161666711171468
57289009,M,Rio de Janeiro,28.0,3,7,4,0.08081722219785056,m_only,0.08081722219785056,cartola_free,0.0,0.0,0.0
57289774,M,Sao Paulo,22.0,9,26,14,2.081658888922797,pc_only,0.20374722222487132,cartola_free,1.2611344444089465,0.3662705555889342,0.2505066667000453
57289927,NA,Alagoas,14.0,4,10,4,0.7015116667085224,pc_e_m,0.012897499998410543,cartola_free,0.025,0.0,0.6636141667101118
57290786,M,Sao Paulo,15.0,20,105,44,2.8953838887479564,pc_e_m,0.4626649998293982,cartola_free,0.6679566666815016,0.025,1.4517930556005902
57291216,M,Pernambuco,26.0,2,3,2,0.041769722236527335,pc_e_m,0.0,cartola_free,0.025,0.0,0.016769722236527337
57293100,NA,NA,,4,24,7,0.4545836111572053,pc_only,0.013151388896836175,cartola_free,0.30114166670375403,0.05158916672070822,0.048338611059718664
57293553,NA,Rio de Janeiro,,2,2,2,0.025,m_only,0.0,cartola_free,0.0125,0.0,0.0
57294629,NA,Parana,29.0,1,2,1,0.012693333360883925,m_only,0.012693333360883925,cartola_free,0.0,0.0,0.0
57296177,NA,NA,,5,11,6,0.13261638879776,m_only,0.07288166662057241,cartola_free,0.047234722177187605,0.0,0.0
57298012,M,Sao Paulo,20.0,9,32,18,1.759887777765592,m_only,0.0125,cartola_free,0.6108980555666818,0.0,1.0068108333481682
57298754,NA,Pernambuco,,2,2,2,0.025,pc_only,0.0,cartola_free,0.025,0.0,0.0
